1 type
41.0066 -106.877 1000.27
41.0125 -106.935 1000.43
42 -107.148 1027.86
42.0009 -107.138 1027.89
42.0021 -107.138 1027.92
42.0043 -107.139 1027.98
42.0082 -107.143 1028.09
42.0114 -107.111 1028.18
42.015 -107.145 1028.28
43 -107.396 1055.64
43.0009 -107.372 1055.67
43.0017 -107.347 1055.69
43.0032 -107.367 1055.73
43.0069 -107.403 1055.84
43.0116 -107.36 1055.97
43.0174 -107.361 1056.13
44 -107.594 1083.42
44.0007 -107.595 1083.44
44.0014 -107.601 1083.46
44.0024 -107.578 1083.49
44.0061 -107.604 1083.59
44.0116 -107.57 1083.75
44.0167 -107.565 1083.89
45 -107.786 1111.2
45.0007 -107.794 1111.22
45.0018 -107.808 1111.25
45.0032 -107.826 1111.29
45.0064 -107.809 1111.38
45.012 -107.794 1111.54
45.0129 -107.81 1111.56
46 -108.03 1138.98
46.0008 -108.054 1139.01
46.0015 -108.017 1139.03
46.0032 -108.037 1139.07
46.0066 -108.016 1139.17
46.0084 -108.041 1139.22
46.0114 -107.997 1139.3
47 -108.228 1166.76
47.0009 -108.253 1166.79
47.0015 -108.249 1166.81
47.0031 -108.256 1166.85
47.0069 -108.276 1166.95
47.0121 -108.223 1167.1
47.0194 -108.25 1167.3
48 -108.427 1194.54
48.0009 -108.423 1194.57
48.0016 -108.453 1194.59
48.0023 -108.453 1194.61
48.0052 -108.436 1194.69
48.0063 -108.443 1194.72
48.008 -108.473 1194.77
49 -108.619 1222.32
49.001 -108.638 1222.35
49.0017 -108.624 1222.37
49.0027 -108.653 1222.4
49.0065 -108.626 1222.5
49.0096 -108.65 1222.59
49.0135 -108.64 1222.7
50 -108.832 1250.1
50.001 -108.846 1250.13
50.0022 -108.807 1250.17
50.0033 -108.833 1250.19
50.0041 -108.824 1250.22
50.011 -108.83 1250.41
50.0153 -108.831 1250.53
51 -109.03 1277.88
51.0009 -109.031 1277.91
51.0021 -109.028 1277.94
51.0038 -109.036 1277.99
51.0062 -109.011 1278.05
51.0125 -109.017 1278.23
51.0141 -109.05 1278.27
52 -109.186 1305.66
52.001 -109.225 1305.69
52.0025 -109.223 1305.73
52.0035 -109.223 1305.76
52.0047 -109.213 1305.79
52.0058 -109.2 1305.82
52.0127 -109.201 1306.01
53 -109.375 1333.44
53.001 -109.394 1333.47
53.002 -109.426 1333.5
53.0036 -109.377 1333.54
53.0058 -109.375 1333.6
53.0103 -109.423 1333.73
53.0142 -109.424 1333.84
54 -109.561 1361.22
54.001 -109.559 1361.25
54.0017 -109.551 1361.27
54.0026 -109.563 1361.3
54.0038 -109.555 1361.33
54.0099 -109.58 1361.5
54.0132 -109.572 1361.59
55 -109.725 1389
55.001 -109.75 1389.03
55.0019 -109.749 1389.06
55.0038 -109.743 1389.11
55.0062 -109.722 1389.17
55.0078 -109.764 1389.22
55.0124 -109.756 1389.35
56 -109.902 1416.78
56.001 -109.893 1416.81
56.0025 -109.894 1416.85
56.0041 -109.919 1416.89
56.007 -109.943 1416.98
56.0079 -109.94 1417
56.0123 -109.898 1417.12
57 -110.091 1444.56
57.0008 -110.087 1444.58
57.0019 -110.071 1444.61
57.0027 -110.096 1444.64
57.0039 -110.101 1444.67
57.0075 -110.097 1444.77
57.0083 -110.078 1444.79
58 -110.231 1472.34
58.0009 -110.285 1472.37
58.0019 -110.261 1472.39
58.0028 -110.242 1472.42
58.0038 -110.274 1472.45
58.011 -110.232 1472.65
58.018 -110.25 1472.84
59 -110.429 1500.12
59.0009 -110.405 1500.15
59.0017 -110.443 1500.17
59.0037 -110.388 1500.22
59.0053 -110.431 1500.27
59.0081 -110.411 1500.35
59.0133 -110.407 1500.49
60 -110.579 1527.9
60.0008 -110.56 1527.92
60.0017 -110.562 1527.95
60.0031 -110.543 1527.99
60.0048 -110.608 1528.04
60.0086 -110.58 1528.14
60.0142 -110.562 1528.3
61 -110.727 1555.68
61.0008 -110.743 1555.7
61.0019 -110.753 1555.73
61.0042 -110.756 1555.8
61.0071 -110.719 1555.88
61.0119 -110.749 1556.01
61.0177 -110.727 1556.17
62 -110.891 1583.46
62.0008 -110.885 1583.48
62.0016 -110.889 1583.51
62.0028 -110.882 1583.54
62.0053 -110.87 1583.61
62.0073 -110.878 1583.66
62.0084 -110.901 1583.69
63 -111.021 1611.24
63.0008 -111.051 1611.26
63.0015 -111.039 1611.28
63.0034 -111.06 1611.34
63.0042 -111.042 1611.36
63.0079 -111.045 1611.46
63.0114 -111.043 1611.56
64 -111.202 1639.02
64.0011 -111.165 1639.05
64.0022 -111.207 1639.08
64.0041 -111.228 1639.14
64.005 -111.185 1639.16
64.0086 -111.205 1639.26
64.0113 -111.206 1639.33
65 -111.303 1666.8
65.001 -111.332 1666.83
65.0025 -111.34 1666.87
65.0036 -111.337 1666.9
65.0071 -111.351 1667
65.0132 -111.336 1667.17
65.0164 -111.32 1667.26
66 -111.484 1694.58
66.001 -111.51 1694.61
66.0022 -111.502 1694.64
66.0033 -111.469 1694.67
66.0064 -111.47 1694.76
66.0075 -111.463 1694.79
66.0108 -111.475 1694.88
67 -111.623 1722.36
67.0007 -111.592 1722.38
67.002 -111.629 1722.42
67.0033 -111.626 1722.45
67.0066 -111.607 1722.54
67.0104 -111.649 1722.65
67.0119 -111.62 1722.69
68 -111.727 1750.14
68.0011 -111.765 1750.17
68.002 -111.739 1750.2
68.0042 -111.758 1750.26
68.0076 -111.761 1750.35
68.0108 -111.758 1750.44
68.0144 -111.747 1750.54
69 -111.867 1777.92
69.0008 -111.867 1777.94
69.0016 -111.888 1777.97
69.0037 -111.893 1778.02
69.007 -111.898 1778.12
69.0081 -111.895 1778.15
69.0095 -111.889 1778.18
70 -112.021 1805.7
70.0007 -112.055 1805.72
70.002 -112.024 1805.76
70.0034 -112.019 1805.8
70.0047 -112.038 1805.83
70.0116 -112.076 1806.02
70.0141 -112.048 1806.09
71 -112.187 1833.48
71.0007 -112.181 1833.5
71.0014 -112.192 1833.52
71.0037 -112.175 1833.58
71.0047 -112.135 1833.61
71.0084 -112.157 1833.71
71.0141 -112.183 1833.87
72 -112.308 1861.26
72.0011 -112.268 1861.29
72.0021 -112.261 1861.32
72.0032 -112.269 1861.35
72.0064 -112.302 1861.44
72.0118 -112.294 1861.59
72.0142 -112.315 1861.66
73 -112.44 1889.04
73.0009 -112.441 1889.07
73.0018 -112.428 1889.09
73.0032 -112.402 1889.13
73.0071 -112.397 1889.24
73.0112 -112.421 1889.35
73.0168 -112.4 1889.51
74 -112.551 1916.82
74.001 -112.544 1916.85
74.0019 -112.537 1916.87
74.0035 -112.574 1916.92
74.0043 -112.567 1916.94
74.0082 -112.55 1917.05
74.0101 -112.569 1917.1
75 -112.684 1944.6
75.001 -112.691 1944.63
75.0024 -112.695 1944.67
75.0035 -112.673 1944.7
75.0052 -112.676 1944.74
75.0064 -112.693 1944.78
75.0106 -112.672 1944.9
76 -112.844 1972.38
76.001 -112.802 1972.41
76.002 -112.793 1972.44
76.0031 -112.815 1972.47
76.0057 -112.792 1972.54
76.0102 -112.803 1972.66
76.0174 -112.795 1972.86
77 -112.897 2000.16
77.001 -112.924 2000.19
77.0018 -112.918 2000.21
77.0027 -112.954 2000.24
77.0059 -112.885 2000.33
77.0075 -112.899 2000.37
77.0099 -112.929 2000.44
78 -113.032 2027.94
78.0011 -113.016 2027.97
78.0021 -113.036 2028
78.0034 -113.035 2028.03
78.0051 -113.039 2028.08
78.0109 -113 2028.24
78.0133 -113.042 2028.31
79 -113.158 2055.72
79.001 -113.168 2055.75
79.0022 -113.127 2055.78
79.0043 -113.164 2055.84
79.0057 -113.156 2055.88
79.0081 -113.143 2055.94
79.0129 -113.151 2056.08
80 -113.28 2083.5
80.001 -113.279 2083.53
80.0017 -113.248 2083.55
80.0029 -113.267 2083.58
80.0053 -113.274 2083.65
80.0073 -113.28 2083.7
80.012 -113.268 2083.83
81 -113.384 2111.28
81.0008 -113.42 2111.3
81.0018 -113.357 2111.33
81.004 -113.388 2111.39
81.0075 -113.391 2111.49
81.0096 -113.363 2111.55
81.0123 -113.382 2111.62
82 -113.476 2139.06
82.001 -113.516 2139.09
82.0021 -113.501 2139.12
82.003 -113.528 2139.14
82.0064 -113.476 2139.24
82.0115 -113.525 2139.38
82.0123 -113.526 2139.4
83 -113.593 2166.84
83.001 -113.609 2166.87
83.0023 -113.601 2166.9
83.0043 -113.582 2166.96
83.0059 -113.616 2167
83.0132 -113.614 2167.21
83.0179 -113.623 2167.34
84 -113.753 2194.62
84.0009 -113.697 2194.64
84.0016 -113.728 2194.66
84.0024 -113.747 2194.69
84.0063 -113.701 2194.8
84.0125 -113.732 2194.97
84.0147 -113.724 2195.03
85 -113.835 2222.4
85.001 -113.827 2222.43
85.0021 -113.819 2222.46
85.0036 -113.816 2222.5
85.0056 -113.859 2222.55
85.0101 -113.832 2222.68
85.0112 -113.83 2222.71
86 -113.953 2250.18
86.0009 -113.956 2250.2
86.0021 -113.968 2250.24
86.0033 -113.913 2250.27
86.0063 -113.952 2250.35
86.0076 -113.947 2250.39
86.0085 -113.948 2250.42
87 -114.052 2277.96
87.0007 -114.021 2277.98
87.0015 -114.053 2278
87.0027 -114.059 2278.04
87.004 -114.055 2278.07
87.0111 -114.057 2278.27
87.0134 -114.018 2278.33
88 -114.145 2305.74
88.0008 -114.139 2305.76
88.0022 -114.174 2305.8
88.0045 -114.151 2305.87
88.0061 -114.163 2305.91
88.0099 -114.155 2306.02
88.0135 -114.152 2306.11
89 -114.235 2333.52
89.0011 -114.233 2333.55
89.0021 -114.25 2333.58
89.0032 -114.236 2333.61
89.0064 -114.258 2333.7
